name,type,phone,address,working_hours,latitude,longitude
Bravo Cəlil Məmmədquluzadə küç.,Ekspres,+994 12 525 20 08,Cəlil Məmmədquluzadə küçəsi 998,07:00 - 23:00,40.395691,49.829384
Bravo İbrahimpaşa Dadaşov küç.,Ekspres,+994 12 525 20 08,İbrahimpaşa Dadaşov küçəsi 57,07:00 - 23:00,40.411991,49.843002
Bravo A.M.Şərifzadə küç. 301,Ekspres,+994 12 525 20 08,Abbas Mirzə Şərifzadə küçəsi 301A,07:00 - 23:00,40.391216,49.802288
Bravo Həzi Aslanov m/s,Ekspres,+994 12 525 20 08,Məhəmməd Hadi küçəsi 76,07:00 - 02:00,40.373547,49.953789
Bravo Hüseyn Cavid pr.,Ekspres,+994 12 525 20 08,Hüseyn Cavid prospekti 55,07:00 - 00:00,40.377781,49.815750
"Bravo ""Ağ şəhər"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Xəqani Rüstəmov küçəsi 23,07:00 - 23:00,40.382687,49.880829
Bravo Zərifə Əliyeva küç.,Ekspres,+994 12 525 20 08,Zərifə Əliyeva prospekti 55,07:00 - 00:00,40.375481,49.857346
Bravo Nəsib bəy Yusifbəyli küç.,Ekspres,+994 12 525 20 08,Nəsib bəy Yusifbəyli küçəsi 74,07:00 - 00:00,40.398125,49.840244
"Bravo ""Zümrüd Residence"" yaşayış kompleksi",Ekspres,+994 12 525 20 08,Ələsgər Hüseynov küçəsi 5,08:00 - 23:00,40.397938,49.862251
Bravo Mehdi Hüseynzadə küç.,Ekspres,+994 12 525 20 08,"Xırdalan şəhəri, Mehdi Hüseynzadə küçəsi 26",07:00 - 00:00,40.459766,49.744411
Bravo Özbəkistan küç.,Ekspres,+994 12 525 20 08,"Nizami rayonu, Mehdi Abbasov küçəsi 15A",07:00 - 23:00,40.414879,49.927147
Bravo Ağa Nemətulla küç.,Ekspres,+994 12 525 20 08,Ağa Nemətulla küçəsi 209,07:00 - 02:00,40.407623,49.868450
"Bravo ""Qurtuluş"" yaşayış kompleksi -1",Ekspres,+994 12 525 20 08,"Masazır qəsəbəsi, İstiqlaliyyət küçəsi",07:00 - 23:00,40.490860,49.754726
Bravo Səid Rüstəmov küç.,Ekspres,+994 12 525 20 08,"Səbail rayonu, Həsən Abdullayev küçəsi",07:00 - 00:00,40.368454,49.829170
Bravo Hövsan,Ekspres,+994 12 525 20 08,"Hövsan qəsəbəsi, İlqar Əhlimanov küçasi 159D",07:00 - 23:00,40.360592,50.078354
Bravo Xırdalan -2,Ekspres,+994 12 525 20 08,"Xırdalan şəhəri, Heydər Əliyev prospekti 240",08:00 - 02:00,40.455780,49.736412
Bravo Üzeyir Hacıbəyov küç.,Ekspres,+994 12 525 20 08,"Səbail rayonu, Səməd Vurğun küçəsi 3",24/7,40.371468,49.842682
Bravo Əhmədli m/s,Ekspres,+994 12 525 20 08,"Xətai rayonu, Məhəmməd Hadi küçəsi182",07:00-02:00,40.385784,49.953472
Bravo Maştağa,Ekspres,+994 12 525 20 08,"Maştağa qəsəbəsi, Nizami küçəsi 97",08:00 - 23:00,40.531670,49.991234
Bravo Buzovna,Ekspres,,"Mərdəkan qəsəbəsi, Buzovna-Mərdəkan yolu",08:00 - 23:00,40.511261,50.140347
Bravo Binəqədi şossesi,Market,,"Binəqədi qəsəbəsi, Binəqədi şossesi, 1-ci küçə",08:00 - 23:00,40.449390,49.843666
Bravo Tovuz,Market,,"Tovuz şəhəri, Həzi Aslanov küçəsi",08:00 - 23:00,40.991013,45.615772
"Bravo Premium ""Sea Breeze""",Premium,,"Nardaran qəsəbəsi, “Sea Breeze” istirahət və yaşayış kompleksi",7/24,40.588493,49.987320
"Bravo ""AAAF Park"" yaşayış kompleksi",Ekspres,,"H.Əliyev prospekti 167,  AAAF park yasayis kompleksi 28 saylı küçə, bina 5",07:00 - 23:00,40.459625,49.720074
Bravo İsmayıl Hidayətzadə,Market,,"Nərimanov rayonu, İsmayıl Hidayətzadə küçəsi ev 130",7/24,40.393917,49.872150
Bravo Xırdalan H.Əliyev pr-2,Market,,"Xırdalan şəhəri, H.Əliyev prospekti 263",07:00 - 00:00,40.463448,49.724785
Bravo Qədir Məmmədov,Market,,"Xətai rayonu, Qədir Məmmədov 40",08:00 - 02:00,40.368393,49.948143
Bravo A.Abbaszadə küç.,Ekspres,,"Badamdar qəsəbəsi, Abbasqulu Abbaszadə küçəsi 59 A",08:00 - 23:00,40.355026,49.816319
Bravo Xudu Məmmədov,Market,,"Xətai rayonu, Əhmədli qəsəbəsi, Xudu Məmmədov küçəsi",8:00-23:00,0.000000,0.000000
Bravo Qala yolu,Market,,"Qala qəsəbəsi, 3 Nömrəli Zeytun Savxozunun ərazisi",07:00 - 23:00,40.456032,50.142788
Bravo Lənkəran,Super,,"Lənkəran rayonu, Şilavar kəndi",08:00 - 23:00,38.757114,48.833950
Bravo Şamaxı,Market,,"Şamaxı şəhəri, Məmməd Əmin Rəsulzadə küçəsi 28,30",24/7,40.641991,48.635811
Bravo Göyçay,Market,,"Göyçay şəhəri, Nizami küçəsi 214 A",24/7,40.651539,47.750381
Bravo Zirə,Ekspres,,"Zirə qəsəbəsi, Cəlal Əliyev küçəsi",08:00 - 23:00,40.382217,50.287785
Bravo Lənkəran Dosa Mall,Market,,"Lənkəran şəhəri, Dosa Mall, Fikrət Məmmədov küçəsi 23",08:00 - 23:00,38.754219,48.852238
Bravo Şuşa,Express,+994 12 404 27 16,"Şuşa şəhəri, Əhməd bəy Ağaoğlu küçəsi",8:00-22:00,39.753689,46.742970
Bravo İsmayıllı,Market,+994 12 404 27 16,"İsmayıllı şəhəri, Nizami Gəncəvi küçəsi",08:00-23:00,40.788719,48.172428
Yeniliklərə abunə olun,Market,+994 12 404 27 16,"Ağ şəhər, Babək prospekti və Süleyman Vəzirov küçəsinin kəsişməsi",9:00-22:00,40.389160,49.890148
